Devices,Lane,PercentageCar,AverageDistance,TimeOccupy,Traffic,Speed,Time
51121312100001,31,21,2711,22,6.0,80.33333333333333,2019-09-19 04:54:46
51121312100001,11,21,2711,22,6.0,100.66666666666669,2019-09-19 04:49:46
51121312100001,31,21,2711,22,6.0,102.0,2019-09-19 04:49:46
51121312100001,11,21,2711,22,6.0,88.33333333333331,2019-09-19 04:44:46
51121312100001,31,21,2711,22,6.0,71.66666666666667,2019-09-19 04:44:46
51121312100001,11,21,2711,22,6.0,94.33333333333331,2019-09-19 04:39:46
51121312100001,31,21,2711,22,6.0,86.0,2019-09-19 04:39:46
51121312100001,11,21,2711,22,6.0,83.0,2019-09-19 04:34:46
51121312100001,31,21,2711,22,6.0,87.66666666666669,2019-09-19 04:34:46
51121312100001,11,21,2711,22,6.0,95.33333333333331,2019-09-19 04:29:46
51121312100001,31,21,2711,22,6.0,100.33333333333331,2019-09-19 04:29:46
51121312100001,11,21,2711,22,6.0,89.0,2019-09-19 04:24:46
51121312100001,31,21,2711,22,6.0,79.0,2019-09-19 04:24:46
51121312100001,11,21,2711,22,6.0,93.66666666666669,2019-09-19 04:19:46
51121312100001,31,21,2711,22,6.0,89.33333333333331,2019-09-19 04:19:46
51121312100001,11,21,2711,22,6.0,97.66666666666669,2019-09-19 04:14:46
51121312100001,31,21,2711,22,6.0,75.66666666666667,2019-09-19 04:14:46
51121312100001,11,21,2711,22,6.0,95.0,2019-09-19 04:09:46
51121312100001,31,21,2711,22,6.0,86.0,2019-09-19 04:09:46
51121312100001,11,21,2711,22,6.0,82.0,2019-09-19 04:04:46
51121312100001,31,21,2711,22,6.0,92.66666666666669,2019-09-19 04:04:46
51121312100001,11,21,2711,22,25.0,89.32,2019-09-19 03:59:46
51121312100001,31,21,2711,22,32.0,99.546875,2019-09-19 03:59:46
51121312100001,11,21,2711,22,9.0,73.1111111111111,2019-09-19 03:54:46
51121312100001,31,21,2711,22,9.0,97.22222222222223,2019-09-19 03:54:46
51121312100001,11,21,2711,22,9.0,85.44444444444444,2019-09-19 03:49:46
51121312100001,31,21,2711,22,9.0,80.66666666666667,2019-09-19 03:49:46
51121312100001,11,21,2711,22,9.0,93.33333333333331,2019-09-19 03:44:45
51121312100001,31,21,2711,22,9.0,102.55555555555556,2019-09-19 03:44:45
51121312100001,11,21,2711,22,9.0,95.77777777777777,2019-09-19 03:39:45
51121312100001,31,21,2711,22,9.0,80.55555555555556,2019-09-19 03:39:45
51121312100001,11,21,2711,22,9.0,76.0,2019-09-19 03:34:46
51121312100001,31,21,2711,22,9.0,100.55555555555556,2019-09-19 03:34:46
51121312100001,11,21,2711,22,9.0,95.11111111111113,2019-09-19 03:29:46
51121312100001,31,21,2711,22,9.0,100.22222222222223,2019-09-19 03:29:46
51121312100001,11,21,2711,22,9.0,106.33333333333331,2019-09-19 03:24:46
51121312100001,31,21,2711,22,9.0,79.1111111111111,2019-09-19 03:24:46
51121312100001,11,21,2711,22,9.0,107.55555555555556,2019-09-19 03:19:46
51121312100001,31,21,2711,22,9.0,79.0,2019-09-19 03:19:46
51121312100001,11,21,2711,22,9.0,90.22222222222223,2019-09-19 03:14:46
51121312100001,31,21,2711,22,9.0,83.22222222222223,2019-09-19 03:14:46
51121312100001,11,21,2711,22,9.0,81.44444444444444,2019-09-19 03:09:46
51121312100001,31,21,2711,22,9.0,77.66666666666667,2019-09-19 03:09:46
51121312100001,11,21,2711,22,9.0,88.33333333333331,2019-09-19 03:04:46
51121312100001,31,21,2711,22,9.0,70.8888888888889,2019-09-19 03:04:46
51121312100001,11,21,2711,22,38.0,82.13157894736842,2019-09-19 02:59:46
51121312100001,31,21,2711,22,42.0,83.09523809523809,2019-09-19 02:59:46
51121312100001,11,21,2711,22,9.0,97.66666666666669,2019-09-19 02:54:46
51121312100001,31,21,2711,22,9.0,90.77777777777777,2019-09-19 02:54:46
51121312100001,11,21,2711,22,9.0,87.1111111111111,2019-09-19 02:49:46
51121312100001,31,21,2711,22,9.0,102.0,2019-09-19 02:49:46
51121312100001,11,21,2711,22,9.0,75.55555555555556,2019-09-19 02:44:46
51121312100001,31,21,2711,22,9.0,93.44444444444444,2019-09-19 02:44:46
51121312100001,11,21,2711,22,9.0,94.77777777777777,2019-09-19 02:39:46
51121312100001,31,21,2711,22,9.0,85.8888888888889,2019-09-19 02:39:46
51121312100001,11,21,2711,22,9.0,74.22222222222223,2019-09-19 02:34:46
51121312100001,31,21,2711,22,9.0,77.1111111111111,2019-09-19 02:34:46
51121312100001,11,21,2711,22,9.0,100.11111111111113,2019-09-19 02:29:46
51121312100001,31,21,2711,22,9.0,105.0,2019-09-19 02:29:46
51121312100001,11,21,2711,22,9.0,98.44444444444444,2019-09-19 02:24:46
51121312100001,31,21,2711,22,9.0,76.44444444444444,2019-09-19 02:24:46
51121312100001,11,21,2711,22,9.0,105.44444444444444,2019-09-19 02:19:46
51121312100001,31,21,2711,22,9.0,94.33333333333331,2019-09-19 02:19:46
51121312100001,11,21,2711,22,9.0,89.66666666666669,2019-09-19 02:14:46
51121312100001,31,21,2711,22,9.0,93.77777777777777,2019-09-19 02:14:46
51121312100001,11,21,2711,22,9.0,106.11111111111113,2019-09-19 02:09:46
51121312100001,31,21,2711,22,9.0,80.0,2019-09-19 02:09:46
51121312100001,11,21,2711,22,9.0,90.55555555555556,2019-09-19 02:04:46
51121312100001,31,21,2711,22,9.0,102.88888888888887,2019-09-19 02:04:46
51121312100001,11,21,2711,22,41.0,75.34146341463416,2019-09-19 01:59:46
51121312100001,31,21,2711,22,37.5,89.54666666666668,2019-09-19 01:59:46
51121312100001,11,21,2711,22,10.0,79.4,2019-09-19 01:54:46
51121312100001,31,21,2711,22,10.0,105.0,2019-09-19 01:54:46
51121312100001,11,21,2711,22,10.0,86.0,2019-09-19 01:49:46
51121312100001,31,21,2711,22,10.0,71.6,2019-09-19 01:49:46
51121312100001,11,21,2711,22,10.0,104.4,2019-09-19 01:44:46
51121312100001,31,21,2711,22,10.0,109.0,2019-09-19 01:44:46
51121312100001,11,21,2711,22,10.0,101.8,2019-09-19 01:39:46
51121312100001,31,21,2711,22,10.0,98.6,2019-09-19 01:39:46
51121312100001,11,21,2711,22,10.0,87.6,2019-09-19 01:34:46
51121312100001,31,21,2711,22,10.0,86.2,2019-09-19 01:34:46
51121312100001,11,21,2711,22,10.0,102.8,2019-09-19 01:29:46
51121312100001,31,21,2711,22,10.0,106.4,2019-09-19 01:29:46
51121312100001,11,21,2711,22,10.0,88.4,2019-09-19 01:24:46
51121312100001,31,21,2711,22,10.0,96.2,2019-09-19 01:24:46
51121312100001,11,21,2711,22,10.0,95.0,2019-09-19 01:19:46
51121312100001,31,21,2711,22,10.0,104.6,2019-09-19 01:19:46
51121312100001,11,21,2711,22,10.0,89.4,2019-09-19 01:14:46
51121312100001,31,21,2711,22,10.0,79.2,2019-09-19 01:14:46
51121312100001,11,21,2711,22,10.0,87.0,2019-09-19 01:09:46
51121312100001,31,21,2711,22,10.0,81.6,2019-09-19 01:09:46
51121312100001,11,21,2711,22,10.0,105.4,2019-09-19 01:04:50
51121312100001,31,21,2711,22,10.0,80.0,2019-09-19 01:04:50
51121312100001,11,21,2711,22,266.5,72.37148217636023,2019-09-19 00:59:46
51121312100001,31,21,2711,22,325.0,82.2,2019-09-19 00:59:46
51121312100001,11,21,2711,22,18.0,74.33333333333333,2019-09-19 00:54:46
51121312100001,31,21,2711,22,15.0,85.0,2019-09-19 00:54:46
51121312100001,11,21,2711,22,16.0,78.75,2019-09-19 00:49:46
51121312100001,31,21,2711,22,12.0,91.33333333333331,2019-09-19 00:49:46
51121312100001,11,21,2711,22,20.0,107.2,2019-09-19 00:44:47
51121312100001,31,21,2711,22,12.0,99.0,2019-09-19 00:44:47
51121312100001,11,21,2711,22,16.0,109.75,2019-09-19 00:39:47
51121312100001,31,21,2711,22,10.0,75.6,2019-09-19 00:39:47
51121312100001,11,21,2711,22,11.0,74.27272727272727,2019-09-19 00:34:46
51121312100001,31,21,2711,22,10.0,91.8,2019-09-19 00:34:46
51121312100001,11,21,2711,22,12.0,80.66666666666667,2019-09-19 00:29:45
51121312100001,31,21,2711,22,12.0,82.33333333333333,2019-09-19 00:29:45
51121312100001,11,21,2711,22,14.0,104.57142857142857,2019-09-19 00:24:47
51121312100001,31,21,2711,22,14.0,98.57142857142857,2019-09-19 00:24:47
51121312100001,11,21,2711,22,18.0,109.0,2019-09-19 00:19:47
51121312100001,31,21,2711,22,15.0,105.4,2019-09-19 00:19:47
51121312100001,11,21,2711,22,20.0,75.2,2019-09-19 00:14:47
51121312100001,31,21,2711,22,11.0,87.36363636363636,2019-09-19 00:14:47
51121312100001,11,21,2711,22,12.0,95.0,2019-09-19 00:09:47
51121312100001,31,21,2711,22,19.0,88.10526315789473,2019-09-19 00:09:47
51121312100001,11,21,2711,22,15.0,96.2,2019-09-19 00:04:47
51121312100001,31,21,2711,22,19.0,91.68421052631581,2019-09-19 00:04:47
51121312100001,11,21,2711,22,32.5,83.86153846153846,2019-09-18 23:59:46
51121312100001,31,21,2711,22,41.0,103.75609756097559,2019-09-18 23:59:46
51121312100001,11,21,2711,22,11.0,84.0909090909091,2019-09-18 23:54:47
51121312100001,31,21,2711,22,12.0,104.0,2019-09-18 23:54:47
51121312100001,11,21,2711,22,11.0,85.63636363636364,2019-09-18 23:49:47
51121312100001,31,21,2711,22,11.0,70.27272727272727,2019-09-18 23:49:47
51121312100001,11,21,2711,22,10.0,86.8,2019-09-18 23:44:46
51121312100001,31,21,2711,22,12.0,83.66666666666667,2019-09-18 23:44:46
51121312100001,11,21,2711,22,12.0,92.33333333333331,2019-09-18 23:39:46
51121312100001,31,21,2711,22,10.0,102.2,2019-09-18 23:39:46
51121312100001,11,21,2711,22,10.0,101.4,2019-09-18 23:34:46
51121312100001,31,21,2711,22,12.0,79.0,2019-09-18 23:34:46
51121312100001,11,21,2711,22,12.0,106.66666666666669,2019-09-18 23:29:47
51121312100001,31,21,2711,22,11.0,99.54545454545456,2019-09-18 23:29:47
51121312100001,11,21,2711,22,11.0,86.18181818181819,2019-09-18 23:24:47
51121312100001,31,21,2711,22,11.0,80.81818181818181,2019-09-18 23:24:47
51121312100001,11,21,2711,22,10.0,91.4,2019-09-18 23:19:46
51121312100001,31,21,2711,22,10.0,90.4,2019-09-18 23:19:46
51121312100001,11,21,2711,22,10.0,84.6,2019-09-18 23:14:46
51121312100001,31,21,2711,22,12.0,99.66666666666669,2019-09-18 23:14:46
51121312100001,11,21,2711,22,10.0,100.2,2019-09-18 23:09:47
51121312100001,31,21,2711,22,12.0,89.0,2019-09-18 23:09:47
51121312100001,11,21,2711,22,11.0,107.45454545454544,2019-09-18 23:04:46
51121312100001,31,21,2711,22,11.0,102.0909090909091,2019-09-18 23:04:46
51121312100001,11,21,2711,22,46.5,90.70967741935483,2019-09-18 22:59:46
51121312100001,31,21,2711,22,52.0,94.92307692307692,2019-09-18 22:59:46
51121312100001,11,21,2711,22,21.5,78.76744186046511,2019-09-18 22:54:46
51121312100001,31,21,2711,22,12.5,83.6,2019-09-18 22:54:46
51121312100001,11,21,2711,22,21.5,79.76744186046511,2019-09-18 22:49:46
51121312100001,31,21,2711,22,13.5,96.51851851851852,2019-09-18 22:49:46
51121312100001,11,21,2711,22,12.5,95.88,2019-09-18 22:44:47
51121312100001,31,21,2711,22,21.5,83.20930232558139,2019-09-18 22:44:47
51121312100001,11,21,2711,22,15.5,74.64516129032258,2019-09-18 22:39:47
51121312100001,31,21,2711,22,17.5,72.31428571428572,2019-09-18 22:39:47
51121312100001,11,21,2711,22,13.5,90.22222222222223,2019-09-18 22:34:46
51121312100001,31,21,2711,22,20.5,79.82926829268294,2019-09-18 22:34:46
51121312100001,11,21,2711,22,21.5,82.95348837209302,2019-09-18 22:29:46
51121312100001,31,21,2711,22,16.5,90.45454545454544,2019-09-18 22:29:46
51121312100001,11,21,2711,22,12.5,101.96,2019-09-18 22:24:46
51121312100001,31,21,2711,22,21.5,79.51162790697674,2019-09-18 22:24:46
51121312100001,11,21,2711,22,11.5,97.04347826086956,2019-09-18 22:19:46
51121312100001,31,21,2711,22,11.5,91.8695652173913,2019-09-18 22:19:46
51121312100001,11,21,2711,22,11.5,90.78260869565216,2019-09-18 22:14:46
51121312100001,31,21,2711,22,19.5,74.15384615384616,2019-09-18 22:14:46
51121312100001,11,21,2711,22,11.5,100.2608695652174,2019-09-18 22:09:46
51121312100001,31,21,2711,22,16.5,99.36363636363636,2019-09-18 22:09:46
51121312100001,11,21,2711,22,17.5,89.94285714285714,2019-09-18 22:04:47
51121312100001,31,21,2711,22,19.5,92.48717948717949,2019-09-18 22:04:47
51121312100001,11,21,2711,22,317.5,78.17795275590551,2019-09-18 21:59:47
51121312100001,31,21,2711,22,322.5,83.7705426356589,2019-09-18 21:59:47
51121312100001,11,21,2711,22,16.5,95.9090909090909,2019-09-18 21:54:46
51121312100001,31,21,2711,22,21.5,77.95348837209302,2019-09-18 21:54:46
51121312100001,11,21,2711,22,17.5,88.48571428571428,2019-09-18 21:49:46
